,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
1094,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308000140/,Москва,sale,flat,8,8,3,86.0,45000000.0,Замоскворечье,Татарская ,14,Павелецкая,
1095,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/sale/flat/309244339/,Москва,sale,flat,14,14,3,95.0,45000000.0,Дорогомилово,Украинский бульвар,5,Киевская,
1096,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/298534728/,Москва,sale,flat,36,52,3,78.0,45800000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
1097,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308120148/,Москва,sale,flat,8,8,4,110.0,46690000.0,Красносельский,Большая Сухаревская площадь,16/18С1,Сухаревская,
1098,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/308892750/,Москва,sale,flat,37,48,4,135.0,46500000.0,Обручевский,Ленинский проспект,111к1,Новаторская,Well House на Ленинском
1099,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307143396/,Москва,sale,flat,14,42,3,68.0,46500000.0,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
1100,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306834640/,Москва,sale,flat,10,33,3,113.9,47000000.0,Тропарево-Никулино,проспект Вернадского,105к4,Юго-Западная,
1101,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/309176729/,Москва,sale,flat,50,51,3,63.0,50000000.0,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
1102,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302739670/,Москва,sale,flat,3,42,4,89.5,51500000.0,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
1103,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301132027/,Москва,sale,flat,22,39,3,83.6,52000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
1104,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/263705047/,Москва,sale,flat,7,14,4,190.5,56900000.0,Кунцево,Молодогвардейская ,8к1,Кунцевская,
1105,Villagio Moscow,real_estate_agent,https://www.cian.ru/sale/flat/309625891/,Москва,sale,flat,10,22,4,106.0,58000000.0,Донской, Вавилова,2,Ленинский проспект,Нескучный сад
